"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2024","EQ","935.00","945.00","895.70","878.60","910.25","912.20","913.77","1,408.85","410.40","69,53,477","6,35,38,70,433.75","1,57,298"
"30-Jan-2024","EQ","867.00","895.95","860.60","860.05","878.80","878.60","881.56","1,408.85","410.40","36,83,666","3,24,73,84,885.10","97,113"
"29-Jan-2024","EQ","877.95","883.20","855.45","871.60","862.55","860.05","863.56","1,408.85","410.40","17,26,017","1,49,05,22,733.50","60,546"
"25-Jan-2024","EQ","860.45","885.00","860.00","851.30","869.05","871.60","871.86","1,408.85","410.40","24,73,935","2,15,69,36,614.65","74,517"
"24-Jan-2024","EQ","853.00","854.50","796.25","848.60","852.00","851.30","835.51","1,408.85","410.40","35,18,987","2,94,01,62,811.00","1,21,896"
"23-Jan-2024","EQ","880.00","898.50","832.05","874.30","854.00","848.60","865.28","1,408.85","410.40","34,59,766","2,99,36,63,110.45","1,09,989"
"20-Jan-2024","EQ","875.00","889.00","863.30","873.70","877.70","874.30","876.88","1,408.85","410.40","35,85,746","3,14,42,57,610.85","85,271"
"19-Jan-2024","EQ","878.00","887.45","862.60","865.65","872.00","873.70","872.90","1,408.85","410.40","47,71,974","4,16,54,42,658.25","1,10,938"
"18-Jan-2024","EQ","857.00","896.10","822.00","849.10","867.00","865.65","864.45","1,408.85","410.40","1,10,18,034","9,52,45,42,109.25","2,91,704"
"17-Jan-2024","EQ","793.00","888.00","780.00","792.15","847.25","849.10","856.00","1,408.85","410.40","2,62,30,941","22,45,37,59,188.05","5,47,369"
"16-Jan-2024","EQ","779.00","808.40","773.00","770.50","792.00","792.15","793.36","1,408.85","410.40","77,87,634","6,17,83,72,150.35","1,80,429"
"15-Jan-2024","EQ","757.70","791.00","757.05","753.85","772.00","770.50","774.75","1,408.85","410.40","52,35,262","4,05,60,21,754.65","1,30,941"
"12-Jan-2024","EQ","776.35","782.80","750.60","772.80","752.50","753.85","762.06","1,408.85","410.40","35,71,574","2,72,17,38,640.50","1,00,908"
